iter	Passed	Remaining
402	12196	48331
403	12223	48290
404	12253	48256
405	12282	48220
406	12311	48188
407	12340	48154
408	12372	48129
409	12405	48111
410	12433	48068
411	12465	48048
412	12495	48016
413	12522	47974
414	12550	47933
415	12582	47909
416	12614	47886
417	12642	47847
418	12673	47819
419	12700	47778
420	12730	47745
421	12757	47703
422	12782	47656
423	12811	47621
424	12840	47585
425	12870	47554
426	12902	47531
427	12931	47494
428	12959	47457
429	12988	47422
430	13019	47395
431	13047	47357
432	13078	47329
433	13105	47287
434	13133	47251
435	13160	47208
436	13187	47167
437	13217	47136
438	13244	47093
439	13277	47075
440	13308	47046
441	13337	47013
442	13366	46978
443	13399	46958
444	13432	46939
445	13459	46896
446	13486	46857
447	13518	46830
448	13546	46795
449	13574	46756
450	13605	46727
451	13631	46686
452	13658	46645
453	13686	46606
454	13714	46567
455	13742	46533
456	13771	46496
457	13799	46459
458	13830	46431
459	13858	46394
460	13890	46371
461	13920	46341
462	13949	46308
463	13978	46273
464	14007	46240
465	14038	46211
466	14066	46174
467	14093	46133
468	14119	46093
469	14150	46064
470	14177	46025
471	14205	45988
472	14233	45949
473	14262	45916
474	14291	45883
475	14322	45856
476	14353	45829
477	14385	45804
478	14417	45779
479	14448	45752
480	14475	45715
481	14504	45680
482	14531	45641
483	14560	45606
484	14587	45566
485	14616	45533
486	14646	45504
487	14676	45474
488	14705	45439
489	14735	45410
490	14765	45380
491	14797	45353
492	14826	45321
493	14857	45292
494	14887	45264
495	14914	45223
496	14944	45192
497	14972	45159
498	15001	45124
499	15033	45099
500	15060	45061
501	15091	45033
502	15120	45000
503	15148	44964
504	15178	44933
505	15207	44901
506	15237	44871
507	15266	44837
508	15298	44813
509	15332	44795
510	15360	44758
511	15393	44737
512	15422	44705
513	15451	44671
514	15481	44641
515	15511	44609
516	15540	44578
517	15571	44549
518	15599	44514
519	15627	44479
520	15658	44449
521	15683	44406
522	15711	44371
523	15740	44338
524	15768	44302
525	15797	44267
526	15828	44240
527	15857	44209
528	15888	44180
529	15918	44152
530	15946	44116
531	15974	44079
532	16002	44044
533	16036	44025
534	16064	43988
535	16090	43948
536	16120	43918
537	16149	43885
538	16178	43852
539	16206	43818
540	16237	43789
541	16267	43759
542	16298	43731
543	16330	43709
544	16363	43685
545	16390	43647
546	16419	43614
547	16447	43578
548	16474	43542
549	16502	43507
550	16532	43476
551	16562	43446
552	16593	43418
553	16623	43388
554	16653	43359
555	16683	43328
556	16711	43293
557	16741	43264
558	16773	43237
559	16800	43200
560	16826	43161
561	16856	43130
562	16885	43098
563	16915	43067
564	16944	43036
565	16973	43004
566	17002	42971
567	17032	42940
568	17060	42906
569	17087	42869
570	17116	42836
571	17143	42797
572	17173	42769
573	17201	42733
574	17232	42706
575	17260	42671
576	17287	42635
577	17317	42604
578	17346	42573
579	17377	42544
580	17404	42508
581	17434	42477
582	17462	42442
583	17490	42409
584	17519	42376
585	17549	42346
586	17577	42311
587	17609	42287
588	17641	42260
589	17669	42225
590	17697	42193
591	17725	42158
592	17755	42128
593	17784	42096
594	17812	42061
595	17843	42034
596	17873	42003
597	17905	41979
598	17935	41948
599	17966	41922
600	17996	41892
601	18024	41856
602	18055	41830
603	18086	41801
604	18112	41764
605	18142	41733
606	18172	41702
607	18201	41672
608	18232	41645
609	18264	41618
610	18292	41585
611	18322	41555
612	18351	41523
613	18380	41491
614	18409	41458
615	18438	41425
616	18470	41401
617	18503	41378
618	18532	41346
619	18564	41320
620	18591	41285
621	18622	41256
622	18651	41224
623	18680	41192
624	18711	41164
625	18737	41126
626	18765	41093
627	18799	41071
628	18827	41038
629	18855	41003
630	18884	40970
631	18914	40942
632	18946	40915
633	18972	40878
634	19003	40850
635	19033	40820
636	19064	40792
637	19092	40758
638	19118	40719
639	19147	40689
640	19178	40660
641	19204	40623
642	19233	40590
643	19265	40566
644	19296	40537
645	19329	40513
646	19359	40484
647	19389	40454
648	19418	40422
649	19446	40388
650	19477	40361
651	19505	40327
652	19534	40295
653	19561	40259
654	19590	40226
655	19619	40197
656	19647	40161
657	19674	40127
658	19706	40100
659	19736	40070
660	19766	40042
661	19796	40012
662	19827	39983
663	19857	39954
664	19886	39923
665	19912	39885
666	19941	39853
667	19967	39816
668	19999	39789
669	20029	39759
670	20058	39727
671	20085	39692
672	20113	39659
673	20142	39627
674	20172	39597
675	20201	39566
676	20230	39534
677	20256	39497
678	20288	39472
679	20319	39443
680	20348	39412
681	20378	39382
682	20409	39354
683	20435	39318
684	20465	39288
685	20498	39263
686	20528	39234
687	20556	39201
688	20588	39175
689	20617	39143
690	20645	39110
691	20673	39075
692	20701	39043
693	20734	39018
694	20762	38985
695	20794	38959
696	20824	38930
697	20851	38895
698	20882	38867
699	20912	38836
700	20941	38806
701	20969	38773
702	20999	38742
703	21027	38710
704	21056	38678
705	21085	38647
706	21114	38615
707	21141	38580
708	21171	38551
709	21207	38531
710	21237	38503
711	21265	38469
712	21297	38442
713	21324	38408
714	21354	38378
715	21380	38342
716	21408	38308
717	21436	38275
718	21465	38244
719	21494	38212
720	21524	38182
721	21556	38156
722	21584	38124
723	21616	38097
724	21646	38068
725	21679	38043
726	21706	38008
727	21734	37976
728	21763	37944
729	21791	37911
730	21820	37880
731	21847	37844
732	21876	37814
733	21906	37784
734	21936	37754
735	21965	37723
736	21995	37693
737	22026	37666
738	22057	37638
739	22089	37611
740	22119	37581
741	22147	37549
742	22177	37519
743	22207	37490
744	22241	37467
745	22272	37439
746	22301	37408
747	22334	37383
748	22365	37356
749	22393	37321
750	22425	37295
751	22461	37276
752	22492	37248
753	22521	37216
754	22550	37185
755	22580	37155
756	22608	37123
757	22639	37095
758	22668	37063
759	22697	37031
760	22725	37000
761	22755	36970
762	22787	36943
763	22813	36907
764	22843	36877
765	22872	36846
766	22899	36812
767	22930	36784
768	22957	36750
769	22985	36717
770	23013	36684
771	23042	36652
772	23068	36616
773	23095	36582
774	23125	36553
775	23157	36527
776	23184	36493
777	23212	36460
778	23239	36426
779	23267	36393
780	23296	36361
781	23324	36328
782	23353	36298
783	23383	36268
784	23415	36241
785	23444	36210
786	23471	36176
787	23503	36149
788	23531	36117
789	23561	36088
790	23593	36061
791	23636	36051
792	23664	36018
793	23694	35988
794	23722	35957
795	23751	35925
796	23778	35891
797	23807	35859
798	23837	35830
799	23866	35800
800	23898	35773
801	23929	35744
802	23960	35716
803	23988	35683
804	24020	35658
805	24049	35625
806	24078	35595
807	24109	35567
808	24144	35545
809	24176	35518
810	24208	35491
811	24239	35462
812	24268	35432
813	24298	35403
814	24326	35370
815	24356	35340
816	24385	35309
817	24413	35276
818	24445	35251
819	24477	35224
820	24509	35196
821	24536	35162
822	24568	35136
823	24598	35106
824	24625	35072
825	24660	35050
826	24689	35018
827	24716	34984
828	24744	34952
829	24774	34923
830	24804	34892
831	24835	34865
832	24867	34837
833	24896	34807
834	24928	34780
835	24956	34747
836	24986	34718
837	25018	34691
838	25048	34661
839	25076	34628
840	25104	34597
841	25134	34567
842	25167	34541
843	25199	34515
844	25228	34484
845	25259	34455
846	25289	34425
847	25318	34395
848	25350	34368
849	25380	34338
850	25409	34307
851	25438	34276
852	25470	34249
853	25501	34220
854	25529	34188
855	25558	34157
856	25590	34130
857	25619	34099
858	25650	34071
859	25680	34041
860	25708	34009
861	25737	33977
862	25766	33946
863	25796	33917
864	25825	33886
865	25854	33855
866	25883	33824
867	25913	33795
868	25942	33764
869	25973	33735
870	26005	33708
871	26034	33677
872	26063	33646
873	26092	33616
874	26119	33582
875	26149	33552
876	26177	33520
877	26207	33490
878	26238	33461
879	26268	33432
880	26296	33400
881	26328	33372
882	26357	33342
883	26388	33314
884	26420	33286
885	26452	33260
886	26482	33229
887	26513	33201
888	26542	33170
889	26573	33141
890	26603	33112
891	26631	33080
892	26663	33053
893	26692	33022
894	26720	32989
895	26750	32960
896	26777	32927
897	26809	32899
898	26837	32867
899	26867	32838
900	26896	32807
901	26926	32777
902	26960	32752
903	26992	32724
904	27019	32692
905	27049	32662
906	27081	32634
907	27111	32605
908	27148	32584
909	27180	32556
910	27207	32523
911	27237	32493
912	27266	32463
913	27295	32432
914	27323	32399
915	27353	32370
916	27386	32343
917	27426	32326
918	27453	32292
919	27484	32263
920	27511	32231
921	27538	32197
922	27569	32169
923	27599	32139
924	27629	32109
925	27660	32081
926	27690	32052
927	27719	32020
928	27748	31989
929	27776	31957
930	27804	31926
931	27832	31894
932	27862	31863
933	27893	31835
934	27923	31805
935	27953	31776
936	27982	31745
937	28009	31712
938	28039	31682
939	28071	31655
940	28103	31627
941	28133	31597
942	28168	31573
943	28200	31546
944	28231	31517
945	28263	31489
946	28293	31460
947	28324	31432
948	28354	31401
949	28387	31375
950	28415	31343
951	28442	31310
952	28472	31280
953	28503	31252
954	28533	31222
955	28562	31192
956	28595	31164
957	28626	31136
958	28656	31106
959	28683	31074
960	28715	31045
961	28754	31026
962	28786	30998
963	28812	30964
964	28843	30935
965	28873	30905
966	28901	30873
967	28929	30842
968	28961	30814
969	28993	30787
970	29021	30755
971	29052	30726
972	29080	30694
973	29110	30664
974	29138	30632
975	29167	30601
976	29195	30569
977	29224	30538
978	29252	30507
979	29282	30478
980	29314	30449
981	29342	30418
982	29371	30387
983	29400	30356
984	29428	30324
985	29457	30294
986	29490	30267
987	29518	30235
988	29548	30206
989	29575	30173
990	29605	30143
991	29635	30113
992	29664	30082
993	29696	30054
994	29725	30024
995	29754	29993
996	29783	29962
997	29811	29930
998	29837	29897
999	29867	29867
1000	29899	29839
1001	29928	29809
1002	29955	29776
1003	29985	29746
1004	30013	29714
1005	30042	29684
1006	30071	29653
1007	30099	29621
1008	30131	29593
1009	30159	29562
1010	30190	29533
1011	30220	29503
1012	30250	29474
1013	30281	29445
1014	30311	29415
1015	30341	29386
1016	30373	29357
1017	30401	29325
1018	30431	29296
1019	30461	29266
1020	30491	29237
1021	30519	29205
1022	30550	29176
1023	30577	29144
1024	30607	29114
1025	30636	29083
1026	30668	29055
1027	30696	29024
1028	30725	28994
1029	30755	28963
1030	30782	28931
1031	30812	28901
1032	30842	28871
1033	30870	28840
1034	30900	28810
1035	30930	28780
1036	30961	28751
1037	30991	28722
1038	31020	28691
1039	31046	28658
1040	31077	28629
1041	31105	28597
1042	31135	28568
1043	31170	28543
1044	31247	28556
1045	31313	28559
1046	31347	28532
1047	31378	28503
1048	31407	28473
1049	31435	28441
1050	31467	28413
1051	31498	28384
1052	31528	28354
1053	31559	28325
1054	31587	28293
1055	31618	28265
1056	31646	28233
1057	31676	28203
1058	31706	28173
1059	31735	28142
1060	31763	28111
1061	31796	28083
1062	31824	28052
1063	31854	28022
1064	31883	27991
1065	31913	27961
1066	31943	27931
1067	31973	27902
1068	32002	27871
1069	32035	27843
1070	32065	27813
1071	32098	27786
1072	32132	27760
1073	32162	27730
1074	32199	27706
1075	32230	27677
1076	32264	27650
1077	32296	27622
1078	32326	27592
1079	32356	27563
1080	32385	27532
1081	32415	27502
1082	32443	27470
1083	32472	27439
1084	32503	27410
1085	32532	27380
1086	32563	27350
1087	32594	27322
1088	32624	27292
1089	32655	27263
1090	32684	27232
1091	32719	27206
1092	32750	27177
1093	32785	27151
1094	32818	27123
1095	32852	27097
1096	32883	27067
1097	32916	27040
1098	32943	27008
1099	32975	26980
1100	33007	26951
1101	33037	26921
1102	33066	26890
1103	33095	26860
1104	33126	26831
1105	33155	26800
1106	33184	26769
1107	33212	26737
1108	33245	26710
1109	33278	26682
1110	33311	26654
1111	33341	26625
1112	33375	26598
1113	33406	26569
1114	33436	26539
1115	33466	26509
1116	33495	26478
1117	33523	26446
1118	33551	26415
1119	33581	26385
1120	33612	26355
1121	33641	26325
1122	33673	26296
1123	33706	26269
1124	33736	26239
1125	33765	26209
1126	33794	26177
1127	33822	26146
1128	33853	26116
1129	33880	26085
1130	33909	26054
1131	33938	26023
1132	33968	25993
1133	33998	25963
1134	34026	25931
1135	34058	25903
1136	34088	25873
1137	34116	25842
1138	34144	25810
1139	34173	25779
1140	34206	25752
1141	34238	25723
1142	34269	25694
1143	34302	25667
1144	34334	25638
1145	34365	25608
1146	34396	25579
1147	34429	25552
1148	34463	25524
1149	34491	25493
1150	34522	25464
1151	34553	25435
1152	34586	25407
1153	34616	25377
1154	34646	25347
1155	34678	25318
1156	34709	25289
1157	34738	25258
1158	34767	25228
1159	34798	25198
1160	34826	25167
1161	34856	25137
1162	34886	25107
1163	34916	25077
1164	34947	25048
1165	34975	25017
1166	35005	24986
1167	35036	24957
1168	35066	24927
1169	35095	24896
1170	35123	24865
1171	35157	24838
1172	35186	24807
1173	35219	24779
1174	35250	24750
1175	35278	24719
1176	35308	24689
1177	35335	24657
1178	35366	24627
1179	35393	24595
1180	35422	24564
1181	35450	24533
1182	35480	24503
1183	35514	24476
1184	35543	24445
1185	35577	24418
1186	35607	24387
1187	35635	24356
1188	35665	24326
1189	35694	24295
1190	35722	24264
1191	35753	24235
1192	35785	24206
1193	35816	24177
1194	35845	24146
1195	35874	24116
1196	35905	24087
1197	35933	24055
1198	35961	24024
1199	35994	23996
1200	36024	23966
1201	36051	23934
1202	36079	23902
1203	36110	23873
1204	36139	23842
1205	36169	23812
1206	36198	23782
1207	36228	23752
1208	36258	23722
1209	36292	23695
1210	36324	23666
1211	36354	23636
1212	36382	23605
1213	36411	23574
1214	36441	23544
1215	36470	23514
1216	36502	23485
1217	36532	23455
1218	36564	23426
1219	36593	23395
1220	36624	23366
1221	36652	23335
1222	36682	23305
1223	36710	23274
1224	36740	23243
1225	36770	23213
1226	36801	23184
1227	36833	23155
1228	36865	23127
1229	36898	23098
1230	36928	23069
1231	36958	23038
1232	36987	23008
1233	37016	22977
1234	37046	22947
1235	37077	22918
1236	37110	22890
1237	37140	22860
1238	37168	22828
1239	37198	22798
1240	37226	22768
1241	37261	22740
1242	37297	22714
1243	37333	22687
1244	37363	22658
1245	37391	22626
1246	37418	22595
1247	37446	22564
1248	37476	22533
1249	37508	22505
1250	37539	22475
1251	37569	22445
1252	37598	22415
1253	37628	22385
1254	37659	22355
1255	37690	22326
1256	37721	22296
1257	37751	22267
1258	37785	22239
1259	37817	22210
1260	37851	22182
1261	37882	22153
1262	37913	22123
1263	37941	22092
1264	37971	22062
1265	38003	22033
1266	38032	22002
1267	38060	21971
1268	38090	21942
1269	38120	21911
1270	38150	21881
1271	38181	21852
1272	38212	21822
1273	38242	21792
1274	38271	21762
1275	38302	21732
1276	38334	21703
1277	38363	21673
1278	38393	21643
1279	38422	21612
1280	38453	21583
1281	38482	21552
1282	38510	21521
1283	38539	21491
1284	38571	21462
1285	38601	21431
1286	38630	21401
1287	38659	21370
1288	38688	21340
1289	38718	21310
1290	38748	21280
1291	38779	21250
1292	38811	21221
1293	38842	21192
1294	38870	21161
1295	38900	21131
1296	38935	21104
1297	38966	21074
1298	38997	21044
1299	39029	21016
1300	39059	20986
1301	39090	20956
1302	39132	20932
1303	39162	20902
1304	39192	20872
1305	39221	20842
1306	39252	20812
1307	39282	20782
1308	39314	20753
1309	39347	20724
1310	39377	20694
1311	39405	20664
1312	39434	20633
1313	39465	20603
1314	39494	20573
1315	39526	20544
1316	39553	20512
1317	39584	20483
1318	39613	20452
1319	39643	20422
1320	39671	20391
1321	39700	20360
1322	39729	20330
1323	39759	20300
1324	39788	20269
1325	39821	20241
1326	39853	20212
1327	39886	20183
1328	39916	20153
1329	39949	20124
1330	39981	20096
1331	40010	20065
1332	40038	20034
1333	40069	20004
1334	40097	19973
1335	40126	19943
1336	40155	19912
1337	40184	19881
1338	40215	19852
1339	40255	19827
1340	40306	19807
1341	40353	19785
1342	40388	19758
1343	40420	19728
1344	40454	19700
1345	40486	19671
1346	40517	19642
1347	40553	19615
1348	40591	19588
1349	40634	19564
1350	40670	19537
1351	40704	19509
1352	40747	19485
1353	40782	19457
1354	40818	19430
1355	40850	19400
1356	40878	19369
1357	40908	19339
1358	40943	19311
1359	40973	19281
1360	41007	19253
1361	41043	19225
1362	41078	19198
1363	41111	19169
1364	41144	19140
1365	41177	19111
1366	41206	19081
1367	41238	19051
1368	41270	19022
1369	41301	18992
1370	41331	18962
1371	41364	18933
1372	41397	18904
1373	41428	18874
1374	41466	18848
1375	41501	18820
1376	41533	18791
1377	41565	18761
1378	41593	18730
1379	41622	18700
1380	41654	18670
1381	41683	18639
1382	41712	18609
1383	41743	18579
1384	41775	18550
1385	41815	18524
1386	41853	18497
1387	41894	18472
1388	41935	18446
1389	41976	18421
1390	42011	18393
1391	42047	18365
1392	42085	18338
1393	42118	18309
1394	42148	18279
1395	42180	18250
1396	42211	18220
1397	42246	18191
1398	42279	18163
1399	42316	18135
1400	42351	18107
1401	42387	18079
1402	42418	18049
1403	42450	18020
1404	42482	17990
1405	42512	17960
1406	42542	17930
1407	42574	17900
1408	42606	17871
1409	42638	17841
1410	42670	17812
1411	42702	17782
1412	42736	17754
1413	42769	17724
1414	42801	17695
1415	42828	17663
1416	42857	17632
1417	42890	17603
1418	42920	17573
1419	42950	17543
1420	42980	17512
1421	43011	17483
1422	43042	17453
1423	43072	17422
1424	43102	17392
1425	43133	17362
1426	43164	17332
1427	43194	17302
1428	43222	17270
1429	43252	17240
1430	43281	17209
1431	43313	17180
1432	43340	17148
1433	43368	17117
1434	43397	17087
1435	43430	17057
1436	43463	17028
1437	43492	16997
1438	43525	16968
1439	43557	16938
1440	43588	16909
1441	43622	16880
1442	43651	16849
1443	43682	16819
1444	43713	16789
1445	43744	16759
1446	43774	16729
1447	43804	16698
1448	43834	16668
1449	43864	16638
1450	43896	16608
1451	43927	16578
1452	43957	16548
1453	43988	16518
1454	44015	16486
1455	44046	16456
1456	44077	16426
1457	44102	16394
1458	44131	16364
1459	44162	16334
1460	44194	16304
1461	44223	16273
1462	44253	16243
1463	44284	16213
1464	44313	16182
1465	44344	16152
1466	44374	16122
1467	44405	16092
1468	44438	16063
1469	44466	16032
1470	44494	16001
1471	44523	15970
1472	44553	15939
1473	44582	15909
1474	44613	15879
1475	44644	15849
1476	44673	15818
1477	44704	15788
1478	44734	15758
1479	44763	15727
1480	44796	15698
1481	44827	15668
1482	44857	15637
1483	44886	15607
1484	44918	15577
1485	44951	15548
1486	44988	15520
1487	45103	15519
1488	45149	15494
1489	45181	15464
1490	45216	15436
1491	45247	15406
1492	45277	15375
1493	45312	15346
1494	45347	15318
1495	45380	15288
1496	45417	15260
1497	45451	15231
1498	45479	15200
1499	45510	15170
1500	45539	15139
1501	45566	15107
1502	45595	15077
1503	45628	15047
1504	45662	15018
1505	45695	14989
1506	45728	14959
1507	45757	14928
1508	45794	14900
1509	45828	14871
1510	45862	14842
1511	45892	14812
1512	45923	14781
1513	45954	14751
1514	45981	14720
1515	46007	14688
1516	46040	14658
1517	46070	14628
1518	46102	14598
1519	46131	14567
1520	46163	14537
1521	46192	14507
1522	46221	14476
1523	46252	14446
1524	46284	14416
1525	46313	14385
1526	46344	14355
1527	46373	14324
1528	46403	14294
1529	46431	14263
1530	46461	14232
1531	46489	14201
1532	46519	14171
1533	46549	14140
1534	46582	14111
1535	46613	14081
1536	46643	14050
1537	46670	14019
1538	46722	13995
1539	46760	13967
1540	46798	13939
1541	46831	13909
1542	46859	13878
1543	46889	13848
1544	46920	13817
1545	46950	13787
1546	46980	13756
1547	47009	13726
1548	47040	13696
1549	47067	13664
1550	47093	13633
1551	47121	13601
1552	47153	13572
1553	47182	13541
1554	47212	13510
1555	47243	13480
1556	47272	13449
1557	47300	13419
1558	47331	13388
1559	47360	13358
1560	47391	13328
1561	47420	13297
1562	47453	13267
1563	47483	13236
1564	47514	13206
1565	47546	13176
1566	47579	13147
1567	47611	13117
1568	47642	13087
1569	47671	13056
1570	47702	13026
1571	47734	12996
1572	47768	12967
1573	47798	12936
1574	47828	12906
1575	47861	12876
1576	47894	12846
1577	47923	12815
1578	47954	12785
1579	47984	12755
1580	48016	12725
1581	48047	12695
1582	48076	12664
1583	48109	12634
1584	48138	12604
1585	48169	12573
1586	48201	12544
1587	48232	12513
1588	48265	12484
1589	48293	12453
1590	48327	12423
1591	48357	12393
1592	48390	12363
1593	48423	12333
1594	48452	12303
1595	48480	12272
1596	48510	12241
1597	48543	12211
1598	48575	12181
1599	48607	12151
1600	48639	12121
1601	48670	12091
1602	48698	12060
1603	48731	12030
1604	48760	12000
1605	48791	11970
1606	48827	11940
1607	48857	11910
1608	48893	11881
1609	48924	11851
1610	48956	11821
1611	48985	11790
1612	49011	11759
1613	49038	11727
1614	49069	11697
1615	49098	11667
1616	49127	11636
1617	49156	11605
1618	49184	11574
1619	49213	11543
1620	49246	11514
1621	49274	11483
1622	49306	11453
1623	49337	11422
1624	49366	11392
1625	49399	11362
1626	49431	11332
1627	49464	11302
1628	49493	11272
1629	49522	11241
1630	49552	11210
1631	49584	11180
1632	49613	11150
1633	49645	11120
1634	49674	11089
1635	49704	11059
1636	49738	11029
1637	49767	10998
1638	49799	10968
1639	49829	10938
1640	49858	10907
1641	49891	10877
1642	49921	10847
1643	49954	10817
1644	49983	10786
1645	50019	10757
1646	50049	10727
1647	50078	10696
1648	50111	10666
1649	50139	10635
1650	50168	10604
1651	50196	10573
1652	50226	10543
1653	50256	10513
1654	50284	10482
1655	50312	10451
1656	50343	10421
1657	50372	10390
1658	50403	10360
1659	50433	10329
1660	50462	10299
1661	50494	10269
1662	50526	10238
1663	50558	10208
1664	50591	10179
1665	50625	10149
1666	50653	10118
