,0
Train MAE,11472.665535233473
Val MAE,10646.03512516557
Test MAE,26733.81544903925
Train RMSE,16932.463907807378
Val RMSE,15985.31419440962
Test RMSE,37431.25938449597
Train R2,0.8595852138372442
Val R2,0.9042685249525356
Test R2,0.6951603086867727
