Branch,Year,median,count,branch_median_prev,branch_pop_prev
CH Chemical,2020,55346.5,224,,0
CH Chemical,2021,64945.0,269,55346.5,224
CH Chemical,2022,90568.0,210,60145.75,493
CH Chemical,2023,117309.0,259,64945.0,703
CH Chemical,2024,90997.0,313,77756.5,962
CI Computer and Information,2020,37283.5,48,,0
CI Computer and Information,2021,36515.5,54,37283.5,48
CI Computer and Information,2022,33477.5,60,36899.5,102
CK Civil Engg (Kannada),2021,169393.0,3,,0
CK Civil Engg (Kannada),2022,144592.0,3,169393.0,3
CK Civil Engg (Kannada),2023,200622.0,1,156992.5,6
CK Civil Engg (Kannada),2024,188790.0,6,169393.0,7
CL B Tech in EO,2023,38586.0,29,,0
CL B Tech in EO,2024,103842.0,124,38586.0,29
CM B Tech in EV,2023,80146.0,71,,0
CM B Tech in EV,2024,151902.0,35,80146.0,71
CN B Tech in IB,2023,34092.0,39,,0
CN B Tech in IB,2024,41673.0,39,34092.0,39
CO Computer Engineering,2020,35570.0,45,,0
CO Computer Engineering,2021,69792.0,93,35570.0,45
CO Computer Engineering,2022,74407.0,92,52681.0,138
CO Computer Engineering,2023,116469.0,139,69792.0,230
CO Computer Engineering,2024,132131.5,120,72099.5,369
CQ B Tech in IO,2023,84128.5,50,,0
CQ B Tech in IO,2024,89904.0,93,84128.5,50
CR Ceramics,2020,131863.0,2,,0
CR Ceramics,2021,171573.0,3,131863.0,2
CR Ceramics,2022,160169.0,4,151718.0,5
CR Ceramics,2023,202836.0,3,160169.0,9
CR Ceramics,2024,214071.0,11,165871.0,12
CS Computers,2020,50612.0,7127,,0
CS Computers,2021,48666.5,9806,50612.0,7127
CS Computers,2022,52053.0,11021,49639.25,16933
CS Computers,2023,58651.0,10961,50612.0,27954
CS Computers,2024,83970.5,11334,51332.5,38915
CT Const. Tech. Mgmt.,2020,116191.5,18,,0
CT Const. Tech. Mgmt.,2021,130323.0,17,116191.5,18
CT Const. Tech. Mgmt.,2022,108123.0,8,123257.25,35
CT Const. Tech. Mgmt.,2023,175223.0,12,116191.5,43
CT Const. Tech. Mgmt.,2024,165823.0,19,123257.25,55
CU B Tech in IS,2023,51021.0,171,,0
CU B Tech in IS,2024,84218.0,217,51021.0,171
CV Civil Environment Engg,2021,172179.0,3,,0
CV Civil Environment Engg,2022,151006.0,8,172179.0,3
CV Civil Environment Engg,2023,166240.5,10,161592.5,11
CV Civil Environment Engg,2024,164748.5,16,166240.5,21
CW B Tech in IT,2023,91940.0,125,,0
CW B Tech in IT,2024,127706.0,120,91940.0,125
CX B Tech in IY,2023,72478.0,49,,0
CX B Tech in IY,2024,91938.5,52,72478.0,49
CY CS- Cyber Security,2020,79573.0,79,,0
CY CS- Cyber Security,2021,48001.0,186,79573.0,79
CY CS- Cyber Security,2022,60550.0,393,63787.0,265
CY CS- Cyber Security,2023,75717.5,602,60550.0,658
CY CS- Cyber Security,2024,93953.0,606,68133.75,1260
CZ B Tech in LC,2023,71955.5,36,,0
CZ B Tech in LC,2024,78480.0,41,71955.5,36
DA B Tech in MC,2023,55469.0,21,,0
DA B Tech in MC,2024,33399.0,22,55469.0,21
DB B Tech in ME,2023,129427.5,134,,0
DB B Tech in ME,2024,129727.0,199,129427.5,134
DC Data Sciences,2023,111302.5,56,,0
DC Data Sciences,2024,150001.0,58,111302.5,56
DD B Tech in MS,2023,100604.0,34,,0
DD B Tech in MS,2024,93944.0,26,100604.0,34
DE B Tech in PE,2023,161331.0,21,,0
DE B Tech in PE,2024,149305.0,21,161331.0,21
DF B Tech in RA,2023,55482.0,35,,0
DF B Tech in RA,2024,152466.0,30,55482.0,35
DH B Tech in RAI,2023,50026.0,34,,0
DH B Tech in RAI,2024,84330.0,113,50026.0,34
DI B Tech in RE,2023,141596.0,25,,0
DI B Tech in RE,2024,164631.5,34,141596.0,25
DJ B Tech in RO,2023,66253.0,20,,0
DJ B Tech in RO,2024,57037.0,21,66253.0,20
DK B Tech in SS,2023,39916.0,39,,0
DK B Tech in SS,2024,41669.0,40,39916.0,39
DL B.TECH IN CS,2023,106967.0,57,,0
DL B.TECH IN CS,2024,114520.0,57,106967.0,57
DM B.TECH IN CS NW,2023,79250.0,37,,0
DM B.TECH IN CS NW,2024,83864.0,41,79250.0,37
DN B.Tech in VLSI,2023,133130.5,34,,0
DN B.Tech in VLSI,2024,115089.5,34,133130.5,34
DS Comp. Sc. Engg- Data Sc.,2020,68206.0,144,,0
DS Comp. Sc. Engg- Data Sc.,2021,65051.5,406,68206.0,144
DS Comp. Sc. Engg- Data Sc.,2022,62188.0,1601,66628.75,550
DS Comp. Sc. Engg- Data Sc.,2023,66439.0,1635,65051.5,2151
DS Comp. Sc. Engg- Data Sc.,2024,83764.5,1846,65745.25,3786
EA Agriculture Engineering,2021,98232.0,77,,0
EA Agriculture Engineering,2022,121421.0,94,98232.0,77
EA Agriculture Engineering,2023,108560.0,109,109826.5,171
EA Agriculture Engineering,2024,153747.0,131,108560.0,280
EB EAT,2023,67516.0,36,,0
EB EAT,2024,69414.0,39,67516.0,36
