College_Code,Year,median,count,college_median_prev,college_pop_prev,college_trend_prev3_slope
E029,2020,83998.0,39,,0,
E029,2021,83172.0,89,83998.0,39,
E029,2022,86986.5,98,83585.0,128,-826.0000000003892
E029,2023,108380.0,112,83998.0,226,1494.2499999995416
E029,2024,150380.0,115,85492.25,338,12603.999999998066
E031,2020,43366.5,248,,0,
E031,2021,52377.0,254,43366.5,248,
E031,2022,55090.0,209,47871.75,502,9010.500000004093
E031,2023,50275.0,204,52377.0,711,5861.7500000000255
E031,2024,96059.5,280,51326.0,915,-1050.9999999996594
E032,2020,119819.0,33,,0,
E032,2021,98644.5,82,119819.0,33,
E032,2022,88663.0,79,109231.75,115,-21174.50000000961
E032,2023,93653.0,84,98644.5,194,-15577.999999999634
E032,2024,137717.0,128,96148.75,278,-2495.7500000001723
E033,2020,129908.0,46,,0,
E033,2021,97163.5,136,129908.0,46,
E033,2022,93954.0,117,113535.75,182,-32744.500000014872
E033,2023,104744.0,126,97163.5,299,-17977.000000000866
E033,2024,147904.0,133,100953.75,425,3790.2499999991574
E034,2020,31207.0,251,,0,
E034,2021,40037.0,273,31207.0,251,
E034,2022,27242.0,265,35622.0,524,8830.00000000402
E034,2023,38699.0,302,31207.0,789,-1982.4999999981928
E034,2024,91245.0,436,34953.0,1091,-669.000000000658
E035,2020,114596.0,17,,0,
E035,2021,121932.0,45,114596.0,17,
E035,2022,112734.0,60,118264.0,62,7336.000000003342
E035,2023,120366.5,92,114596.0,122,-930.9999999986719
E035,2024,155196.5,12,117481.25,214,-782.7500000004276
E036,2020,61519.5,234,,0,
E036,2021,67250.0,226,61519.5,234,
E036,2022,52096.0,239,64384.75,460,5730.500000002619
E036,2023,58920.5,266,61519.5,699,-4711.74999999804
E036,2024,85009.0,297,60220.0,965,-4164.750000000204
E037,2020,33540.0,304,,0,
E037,2021,36010.5,308,33540.0,304,
E037,2022,39574.0,289,34775.25,612,2470.500000001129
E037,2023,55527.5,336,36010.5,901,3016.9999999996794
E037,2024,54524.0,400,37792.25,1237,9758.499999998547
E038,2020,68301.0,224,,0,
E038,2021,65953.0,241,68301.0,224,
E038,2022,57506.0,262,67127.0,465,-2348.0000000010536
E038,2023,64216.5,318,65953.0,727,-5397.49999999912
E038,2024,82753.0,316,65084.75,1045,-868.2500000003613
E040,2020,114690.0,60,,0,
E040,2021,90994.5,86,114690.0,60,
E040,2022,83922.5,118,102842.25,146,-23695.500000010765
E040,2023,94257.0,121,90994.5,264,-15383.750000000085
E040,2024,145770.0,133,92625.75,385,1631.2499999992958
E041,2020,53363.0,223,,0,
E041,2021,75132.0,214,53363.0,223,
E041,2022,82870.5,122,64247.5,437,21769.000000009906
E041,2023,101559.5,158,75132.0,559,14753.749999999929
E041,2024,143906.0,227,79001.25,717,13213.749999998206
E042,2020,108531.0,41,,0,
E042,2021,115489.0,89,108531.0,41,
E042,2022,105376.0,95,112010.0,130,6958.000000003172
E042,2023,108646.0,103,108531.0,225,-1577.4999999985714
E042,2024,158802.0,109,108588.5,328,-3421.500000000017
E043,2020,72020.0,88,,0,
E043,2021,82660.0,208,72020.0,88,
E043,2022,90203.0,269,77340.0,296,10640.000000004833
E043,2023,101915.0,330,82660.0,565,9091.499999999523
E043,2024,122422.0,392,86431.5,895,9627.499999998801
E044,2020,110181.0,52,,0,
E044,2021,130052.0,169,110181.0,52,
E044,2022,94354.0,224,120116.5,221,19871.000000009044
E044,2023,106942.0,260,110181.0,445,-7913.499999995119
E044,2024,136520.5,290,108561.5,705,-11555.000000000166
E045,2020,96178.0,88,,0,
E045,2021,73785.5,236,96178.0,88,
E045,2022,85438.0,299,84981.75,324,-22392.50000001017
E045,2023,100386.0,357,85438.0,623,-5370.000000002195
E045,2024,136284.0,371,90808.0,980,13300.249999998423
E046,2020,96276.0,43,,0,
E046,2021,103242.0,67,96276.0,43,
E046,2022,92488.0,77,99759.0,110,6966.000000003161
E046,2023,101669.0,90,96276.0,187,-1893.9999999984964
E046,2024,147153.0,110,98972.5,277,-786.5000000005084
E047,2020,43829.0,240,,0,
E047,2021,54256.0,255,43829.0,240,
E047,2022,41238.0,282,49042.5,495,10427.000000004748
E047,2023,50128.0,303,43829.0,777,-1295.4999999981057
E047,2024,69883.0,301,46978.5,1080,-2064.0000000004366
E048,2020,16933.0,534,,0,
E048,2021,15099.0,542,16933.0,534,
E048,2022,14755.0,658,16016.0,1076,-1834.0000000008292
E048,2023,20441.0,756,15099.0,1734,-1089.000000000028
E048,2024,17519.0,649,16016.0,2490,2670.999999999523
E049,2020,47408.0,286,,0,
E049,2021,36676.0,207,47408.0,286,
E049,2022,59876.0,282,42042.0,493,-10732.000000004871
E049,2023,36382.0,211,47408.0,775,6233.999999996917
E049,2024,72687.0,280,42042.0,986,-146.99999999857
E054,2020,109956.0,7,,0,
