College_Code,College_Name,Category,Branch,Cutoff_Rank,Year,Round,Exam_Type,Rank_Scaled,Branch_Norm,College_Clean,College_Final,Rank_norm,college_median_prev,college_pop_prev,college_trend_prev3_slope,branch_median_prev,branch_pop_prev,College_Tier,college_median_prev_filled,branch_median_prev_filled,college_pop_prev_filled,branch_pop_prev_filled,branch_unstable_flag,Cutoff_log1p,Rank_norm_log1p,rank_norm_x_tier,branchpop_x_tier,collegepop_x_ranknorm,College_Code_enc_prev,Branch_enc_prev,Category_enc_prev,College_Code_enc_prev_filled,Branch_enc_prev_filled,Category_enc_prev_filled,Rank_norm_scaled,Cutoff_log1p_scaled,Rank_norm_log1p_scaled,College_Code_enc_prev_filled_scaled,Branch_enc_prev_filled_scaled,Category_enc_prev_filled_scaled,college_pop_prev_filled_scaled,branch_pop_prev_filled_scaled,college_trend_prev3_slope_scaled
E013,Ghousia Engineering College Ramanagara,GM,CE Civil,150952.0,2020,1,KCET,0.983631340249179,CE Civil,ghousia engineering college ramanagara,ghousia engineering college ramanagara,0.983631340249179,,0,,,0,3,109376.0,109376.0,0,0,1,11.924723809068004,0.6849291756941357,2.950894020747537,0.0,0.0,,,,101442.49593913276,60628.722383372864,64981.98397423354,2.229121378427993,1.1272276076498728,2.0028313873371077,1.1764192715575672,-0.4527545461858591,-0.2200412139106835,-0.9552776513302264,-0.8462569338932755,0.3454856169448763
E013,Ghousia Engineering College Ramanagara,GM,CS Computers,151711.0,2020,1,KCET,0.9885771255799406,CS Computers,ghousia engineering college ramanagara,ghousia engineering college ramanagara,0.9885771255799406,,0,,,0,3,109376.0,109376.0,0,0,1,11.929739265701844,0.6874193712246988,2.965731376739822,0.0,0.0,,,,101442.49593913276,60628.722383372864,64981.98397423354,2.2482204478065344,1.132878169838722,2.0166737248002398,1.1764192715575672,-0.4527545461858591,-0.2200412139106835,-0.9552776513302264,-0.8462569338932755,0.3454856169448763
E013,Ghousia Engineering College Ramanagara,GM,EC Electronics,85600.0,2020,1,KCET,0.5577855392795704,EC Electronics,ghousia engineering college ramanagara,ghousia engineering college ramanagara,0.5577855392795704,,0,,,0,3,109376.0,109376.0,0,0,1,11.357452244304588,0.4432652873188744,1.6733566178387114,0.0,0.0,,,,101442.49593913276,60628.722383372864,64981.98397423354,0.5846386616606626,0.488122639014712,0.659485832947375,1.1764192715575672,-0.4527545461858591,-0.2200412139106835,-0.9552776513302264,-0.8462569338932755,0.3454856169448763
E013,Ghousia Engineering College Ramanagara,GM,EE Electrical,146870.0,2020,1,KCET,0.9570322681540948,EE Electrical,ghousia engineering college ramanagara,ghousia engineering college ramanagara,0.9570322681540948,,0,,,0,3,109376.0,109376.0,0,0,1,11.897309929467154,0.6714291773705324,2.8710968044622844,0.0,0.0,,,,101442.49593913276,60628.722383372864,64981.98397423354,2.1264041172907024,1.0963423178684677,1.9277884719300664,1.1764192715575672,-0.4527545461858591,-0.2200412139106835,-0.9552776513302264,-0.8462569338932755,0.3454856169448763
E015,Dr.T.Thimmaiah Institute of Technology BANGARAPET -TQ kolar District,2AG,CE Civil,142470.0,2020,1,KCET,0.9283610488453318,CE Civil,dr t thimmaiah institute of technology bangarapet tq kolar district,dr t thimmaiah institute of technology bangarapet tq kolar district,0.9283610488453318,,0,,,0,3,109376.0,109376.0,0,0,1,11.866893749208192,0.6566704451734566,2.785083146535995,0.0,0.0,,,,101442.49593913276,60628.722383372864,64981.98397423354,2.0156848745165523,1.0620745471253443,1.8457485882773463,1.1764192715575672,-0.4527545461858591,-0.2200412139106835,-0.9552776513302264,-0.8462569338932755,0.3454856169448763
E015,Dr.T.Thimmaiah Institute of Technology BANGARAPET -TQ kolar District,GM,CE Civil,132430.0,2020,1,KCET,0.8629385393317,CE Civil,dr t thimmaiah institute of technology bangarapet tq kolar district,dr t thimmaiah institute of technology bangarapet tq kolar district,0.8629385393317,,0,,,0,3,109376.0,109376.0,0,0,1,11.793817034051605,0.6221551014519323,2.5888156179951,0.0,0.0,,,,101442.49593913276,60628.722383372864,64981.98397423354,1.7630436932773554,0.979744152568039,1.6538869334050843,1.1764192715575672,-0.4527545461858591,-0.2200412139106835,-0.9552776513302264,-0.8462569338932755,0.3454856169448763
E015,Dr.T.Thimmaiah Institute of Technology BANGARAPET -TQ kolar District,GMR,CE Civil,152304.0,2020,1,KCET,0.992441224000417,CE Civil,dr t thimmaiah institute of technology bangarapet tq kolar district,dr t thimmaiah institute of technology bangarapet tq kolar district,0.992441224000417,,0,,,0,3,109376.0,109376.0,0,0,1,11.93364036828527,0.6893606331294221,2.9773236720012517,0.0,0.0,,,,101442.49593913276,60628.722383372864,64981.98397423354,2.263142382116777,1.137273267705583,2.0274646856142398,1.1764192715575672,-0.4527545461858591,-0.2200412139106835,-0.9552776513302264,-0.8462569338932755,0.3454856169448763
E015,Dr.T.Thimmaiah Institute of Technology BANGARAPET -TQ kolar District,SCG,CE Civil,145053.0,2020,1,KCET,0.945192357816817,CE Civil,dr t thimmaiah institute of technology bangarapet tq kolar district,dr t thimmaiah institute of technology bangarapet tq kolar district,0.945192357816817,,0,,,0,3,109376.0,109376.0,0,0,1,11.88486136586701,0.6653608713148229,2.835577073450451,0.0,0.0,,,,101442.49593913276,60628.722383372864,64981.98397423354,2.080682102717832,1.0823173969251083,1.8940563656670268,1.1764192715575672,-0.4527545461858591,-0.2200412139106835,-0.9552776513302264,-0.8462569338932755,0.3454856169448763
E015,Dr.T.Thimmaiah Institute of Technology BANGARAPET -TQ kolar District,1G,CS Computers,85597.0,2020,1,KCET,0.5577659907209508,CS Computers,dr t thimmaiah institute of technology bangarapet tq kolar district,dr t thimmaiah institute of technology bangarapet tq kolar district,0.5577659907209508,,0,,,0,3,109376.0,109376.0,0,0,1,11.357417197370898,0.4432527382992744,1.6732979721628525,0.0,0.0,,,,101442.49593913276,60628.722383372864,64981.98397423354,0.584563171267862,0.4880831540998182,0.65941607627084,1.1764192715575672,-0.4527545461858591,-0.2200412139106835,-0.9552776513302264,-0.8462569338932755,0.3454856169448763
E015,Dr.T.Thimmaiah Institute of Technology BANGARAPET -TQ kolar District,2AG,CS Computers,106168.0,2020,1,KCET,0.6918104571756243,CS Computers,dr t thimmaiah institute of technology bangarapet tq kolar district,dr t thimmaiah institute of technology bangarapet tq kolar district,0.6918104571756243,,0,,,0,3,109376.0,109376.0,0,0,1,11.57278744310671,0.5257992325542269,2.075431371526873,0.0,0.0,,,,101442.49593913276,60628.722383372864,64981.98397423354,1.1022007947012806,0.730725660257056,1.1182701766222247,1.1764192715575672,-0.4527545461858591,-0.2200412139106835,-0.9552776513302264,-0.8462569338932755,0.3454856169448763
