college_code,college_name,branch_code,branch_name,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR
E009,P E S University (Ring Road Campus)  Bangalore,ME,Mechanical,,,,29258.0,,,30435.0,,,1911.0,,
E011,M V J College of Engineering  Bangalore,AI,Artificial Intelligence,,,,25728.0,,,28096.0,,,2245.0,,
E017,Sri Siddartha Institute of Technology  Tumkur,IE,Information Science,44613.0,,,55482.0,,62938.0,57067.0,,,4490.0,,
E017,Sri Siddartha Institute of Technology  Tumkur,ME,Mechanical,,,,115738.0,,,,10897.0,,,,
E017,Sri Siddartha Institute of Technology  Tumkur,AI,Artificial Intelligence,82342.0,,,69614.0,,,80752.0,,,6234.0,,
E018,Kalpatharu Institute of Technology  Tiptur,AI,Artificial Intelligence,86169.0,,109009.0,81432.0,84611.0,,82602.0,,115463.0,7339.0,,
E018,Kalpatharu Institute of Technology  Tiptur,CE,Civil Engineering,179189.0,,,184904.0,,,,16817.0,,,,
E018,Kalpatharu Institute of Technology  Tiptur,CS,Computer Science,80498.0,,,76554.0,82925.0,102738.0,97897.0,,,6981.0,,
E018,Kalpatharu Institute of Technology  Tiptur,EC,Electronics,93899.0,,,103616.0,,,,9141.0,,,,
E018,Kalpatharu Institute of Technology  Tiptur,IE,Information Science,106781.0,,,87643.0,,114396.0,99992.0,,,7270.0,,
E018,Kalpatharu Institute of Technology  Tiptur,ME,Mechanical,175272.0,,,209559.0,,,173479.0,,,,,
E021,Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.),CE,Civil Engineering,49180.0,,,64890.0,,70257.0,92774.0,242263.0,,4739.0,,
E021,Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.),CS,Computer Science,6255.0,,,5046.0,,7458.0,6370.0,,,2983.0,,
E021,Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.),EC,Electronics,10864.0,,,8596.0,,12100.0,21879.0,,,6308.0,,
E021,Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.),EE,Electrical,28966.0,,,24270.0,,30803.0,19201.0,,45444.0,1857.0,,
E021,Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.),ME,Mechanical,60735.0,,112819.0,53642.0,74924.0,56210.0,53875.0,,,4055.0,,
E022,The National Institute of Engineering(SOUTH CAMPUS)  Mysore,CE,Civil Engineering,104972.0,,,95877.0,,99543.0,106191.0,,109256.0,8461.0,,
E022,The National Institute of Engineering(SOUTH CAMPUS)  Mysore,EC,Electronics,13557.0,,14883.0,13652.0,,15394.0,22780.0,,35927.0,9244.0,,
E022,The National Institute of Engineering(SOUTH CAMPUS)  Mysore,ME,Mechanical,65808.0,,,47699.0,57205.0,73309.0,72006.0,,,4175.0,,
E023,P E S College of Engineering  Mandya,CE,Civil Engineering,147354.0,,,,,12093.0,,,,,,
