College_Code,College_Name,Category,Branch,Cutoff_Rank,Year,Round,Exam_Type
E222,"Cambridge Institutute of Technology-North Campus Devanahalli(TQ),Bangalore(R)",GMRH,CY CS- Cyber Security,89223,2023,1,CET
E222,"Cambridge Institutute of Technology-North Campus Devanahalli(TQ),Bangalore(R)",3AH,EC Electronics,75795,2023,1,CET
E222,"Cambridge Institutute of Technology-North Campus Devanahalli(TQ),Bangalore(R)",GMH,EC Electronics,57068,2023,1,CET
E223,MISSING_COLLEGE,,,,2023,1,CET
E224,MISSING_COLLEGE,,,,2023,1,CET
E225,S.J.B School of Architecture and Planning Bangalore,GMH,DG DG,163069,2023,1,CET
E226,MISSING_COLLEGE,,,,2023,1,CET
E227,Cauvery Institute of Technology Mandya tq,1H,CS Computers,141754,2023,1,CET
E227,Cauvery Institute of Technology Mandya tq,2AH,CS Computers,96925,2023,1,CET
E227,Cauvery Institute of Technology Mandya tq,GMH,CS Computers,91605,2023,1,CET
E227,Cauvery Institute of Technology Mandya tq,SCH,CS Computers,152167,2023,1,CET
E227,Cauvery Institute of Technology Mandya tq,3AH,EC Electronics,163452,2023,1,CET
E227,Cauvery Institute of Technology Mandya tq,GMKH,EC Electronics,184466,2023,1,CET
E228,MISSING_COLLEGE,,,,2023,1,CET
E229,MISSING_COLLEGE,,,,2023,1,CET
E230,MISSING_COLLEGE,,,,2023,1,CET
E231,MISSING_COLLEGE,,,,2023,1,CET
E232,Reva University Bangalore,2AH,AM B Tech in AM,22620,2023,1,CET
E232,Reva University Bangalore,GMH,AM B Tech in AM,19245,2023,1,CET
E232,Reva University Bangalore,SCH,AM B Tech in AM,75843,2023,1,CET
E232,Reva University Bangalore,SCRH,AM B Tech in AM,125069,2023,1,CET
E232,Reva University Bangalore,GMH,BA B.Tech(Agri.Engg),57858,2023,1,CET
E232,Reva University Bangalore,2AH,BB B Tech in EC,36603,2023,1,CET
E232,Reva University Bangalore,2ARH,BB B Tech in EC,42145,2023,1,CET
E232,Reva University Bangalore,GMH,BB B Tech in EC,26749,2023,1,CET
E232,Reva University Bangalore,SCH,BB B Tech in EC,110007,2023,1,CET
E232,Reva University Bangalore,STH,BB B Tech in EC,136002,2023,1,CET
E232,Reva University Bangalore,2AH,BG B Tech in AD,34253,2023,1,CET
E232,Reva University Bangalore,GMH,BG B Tech in AD,21360,2023,1,CET
E232,Reva University Bangalore,SCH,BG B Tech in AD,102739,2023,1,CET
