,0
train_mae,11482.757124886868
val_mae,18860.418500215615
test_mae,31949.222560217248
train_rmse,18405.195778483085
val_rmse,28035.020152154444
test_rmse,45473.87259276978
rmse_gap,1.6220381631961684
