model,dataset,mae,rmse,r2_score,median_absolute_error,mape_percent,mean_residual,std_residual,max_error,within_10pct,within_20pct,within_50pct,q25_absolute_error,q50_absolute_error,q75_absolute_error,q95_absolute_error,n_samples
LightGBM_Optuna,Train,11143.455175872281,16358.11077320181,0.8689494598270159,7301.997203398561,20.85180694768699,-10.350273228434025,16358.107498735455,133810.7842625459,39.03088817102828,64.71053682261987,92.26888316213568,2835.540617584682,7301.997203398561,15378.979251135712,34215.47599643043,137755
LightGBM_Optuna,Validation,10204.77893588733,15258.066003521075,0.9127809452831059,6466.895576185489,17.49239451240853,-1182.1221441505331,15212.204488637224,165078.01516261647,50.770422372736114,75.93810253621398,94.83528616865246,2474.08019424908,6466.895576185489,14057.216559007502,32016.174757898814,60681
LightGBM_Optuna,Test,26942.652418485883,37776.44848645323,0.6895119526595859,18949.3778090231,27.19055274625117,11688.734155977658,35922.605056990724,246421.7963471828,21.74210482227124,44.293971462876605,89.24552536788318,7580.714785899754,18949.3778090231,37720.19089137709,80102.73318214818,71626
