College_Branch_target_enc,hist_mean,hist_count
2689.6797326332176,3036.75,44
2721.675773908329,2840.6785714285716,56
2746.4495904924684,3393.0280373831774,107
2805.3235230594,2536.898305084746,59
2808.3853804595246,2446.195652173913,46
3030.184173992592,1818.6825396825398,63
3617.207229557492,4756.6,35
3776.6226141728766,4164.4857142857145,35
3818.6737866854087,4019.787878787879,33
3858.896605105903,4801.443037974684,79
4229.047806644246,5331.047619047619,42
4271.633879421447,2074.8064516129034,31
4285.41436920351,1939.5666666666666,30
4431.161309355782,7542.204545454545,88
4549.584786396138,3888.1463414634145,41
4559.7139551784285,3933.3617021276596,47
4571.938211410469,3927.18,50
4606.9941427761,3768.125,48
5032.065814284027,6011.22,50
5208.808447084743,8284.01724137931,116
5244.5089807521945,5082.393442622951,61
5245.437557133511,13061.5,12
5323.138124296759,4725.603773584906,53
5356.650602769284,4446.6,45
5383.152094487971,4662.358208955224,67
6031.190189726067,7244.702127659574,47
6253.116497441533,11329.297619047618,84
6320.086859549268,7808.571428571428,49
6338.605480011894,5890.224489795918,49
6371.725195306245,5796.584905660377,53
6377.865372350617,5805.357142857143,56
6460.009416711038,5417.431372549019,51
6506.393949824976,8123.6,10
6650.112849965945,8238.57142857143,7
6687.08616131067,6460.111111111111,36
6715.884996419863,7279.111111111111,9
6735.682999124855,6274.4390243902435,41
6811.527166839132,12112.272727272728,55
6885.55712553146,5778.468085106383,47
6973.246780703873,5453.829787234043,47
7015.112072499508,5149.309090909091,55
7324.403329582713,5834.181818181818,11
7357.347438197068,4464.5,10
7442.218044938389,4656.666666666667,12
7482.358167497633,436.0,1
7527.487552054977,4133.0,8
7537.950948630332,4037.909090909091,11
7733.895067035386,8112.426966292135,89
7757.403081450735,8065.3875,80
7802.6883273523745,7892.7375,80
7811.994300228354,8403.384615384615,39
7821.862269147135,3071.0,9
7854.832022210832,8113.0192307692305,52
7892.693984247397,1907.5,2
7914.50195485544,9066.932692307691,104
7950.055713796503,7163.825396825397,63
8009.402982555104,7524.113636363636,44
8048.875207164454,6832.513888888889,72
8085.050794559511,7301.918367346939,49
8118.393984247396,779.0,2
8150.188864013373,6824.45,40
8200.028389899275,10286.235294117647,51
8246.26078740135,9455.75925925926,54
8498.307771765278,8509.978260869566,46
8500.396653083557,12530.601851851852,108
8513.93502409191,8451.80357142857,56
8552.435733850587,8261.695652173914,46
8559.461947377413,1738.5833333333333,12
8606.020845727375,9024.027777777777,36
8672.90195485544,9616.77108433735,83
8770.10442694155,1270.3333333333333,3
8771.215538052662,1267.0,3
8781.17902088301,8186.975609756098,41
8824.720334315496,8082.130434782609,46
8988.817437647656,6664.2962962962965,54
9016.321070490916,9904.816326530612,49
9043.734940718092,10563.545454545454,22
9072.7774435693,9918.324324324325,37
9172.739773121322,12461.181818181818,44
9216.949031532138,12905.894736842105,76
9249.062872657896,9087.0,43
9276.10442694155,5469.0,1
9292.731084814135,6503.5,50
9314.172068060196,8823.53488372093,43
9350.485686628204,10051.054545454546,55
9360.752233440871,9314.125,24
9440.117480309244,747.0,2
9453.72180386127,824.0,1
9510.326649163771,3361.0,1
9595.931908342403,8258.25,20
9659.413101637632,8128.818181818182,22
9766.931908342403,7497.3,20
9779.121039551872,7006.590909090909,44
9827.452216481784,14672.878048780487,82
9855.052041060077,9651.733333333334,30
9910.677815186633,9519.340425531915,47
9947.617480309244,3950.0,2
9950.085440224906,1223.0,1
10122.52110332806,8998.206896551725,58
10283.242480309244,2607.5,2
10290.593984247396,954.5,2
10399.867480309244,5404.0,4
10424.832999124854,7204.804878048781,41
10563.867480309244,1485.0,2
10571.367480309244,2191.5,2
10632.562834639137,862.3333333333334,3
10663.367480309244,1823.5,2
10692.415413384871,14229.2,5
10732.77455414908,12918.304347826086,46
10765.88220471933,4593.666666666667,3
10839.28875902871,13710.655172413793,29
10937.99331583044,4077.3333333333335,3
10979.583020012886,11913.822222222223,45
10998.339996157902,13050.75,8
11007.51839487954,11715.92,50
11026.074336650452,16805.274509803923,51
11077.214590337133,10907.8125,16
11156.9702103058,11618.949367088608,79
11218.332832020616,13303.09375,32
11243.762936543351,11536.666666666666,15
11253.990802868188,14134.298245614034,57
11321.544087328952,9581.555555555555,9
11394.419598949826,17333.833333333332,60
11413.897164113969,11286.869565217392,23
11439.26904210847,13427.529411764706,34
11467.39363556805,9580.97435897436,39
11484.064030987693,12424.107142857143,28
11513.411754522702,10574.0,19
11525.427139106523,9119.454545454546,11
11536.161878995505,12061.942857142858,35
11536.203178238044,9549.0,5
11634.758102090293,10574.441176470587,34
11657.229867384696,19758.964285714286,56
11664.11252036934,12667.029411764706,34
11664.30351873979,13083.916666666666,24
11708.742480309244,2786.25,4
11728.708250414682,12259.431034482759,58
11838.252454955424,13084.494949494949,99
11873.479180365344,13367.42857142857,42
11928.944419019195,8661.839285714286,56
11935.38730248581,13351.371428571429,35
11941.42713910652,7531.090909090909,11
11949.00854556156,11372.666666666666,54
11950.542833405309,10167.2,25
12065.831045595778,12596.926829268292,41
12069.617480309244,3529.25,4
12141.178677759188,9595.40909090909,44
12168.060750434151,13936.444444444445,72
12177.144874206682,7009.375,8
12178.295671418216,8728.416666666666,12
12200.848548924852,691.6666666666666,3
12201.10650408968,14444.762711864407,59
12223.760627940088,12004.055555555555,54
12233.656640412328,903.25,4
12251.34471546932,10019.057692307691,52
12257.378107398532,10261.203389830509,59
12260.838473241303,10492.677419354839,31
12311.562834639137,924.3333333333334,3
12352.492480309244,5318.0,1
12403.448323472834,13435.958333333334,48
12421.69557531094,13961.6875,48
12532.145847032012,12847.854838709678,62
12555.726775557636,8150.193548387097,31
12589.926386609812,12735.42857142857,42
12599.045150719568,12712.942857142858,35
12616.15424825096,14082.0,84
12632.442395012886,13453.30612244898,49
12665.992480309244,2810.0,1
12700.637508839523,17032.93269230769,104
12789.867480309244,11916.0,2
12799.339999346366,17928.582417582416,91
12831.778969429955,13783.96,25
12860.277120353425,7058.0,2
12869.539837439306,7049.16,25
12889.664539689047,12500.94642857143,56
12896.406732876754,12339.42857142857,42
12907.38351873979,13230.5,36
12917.913400215604,12268.454545454546,44
12927.773983778,13225.964285714286,28
12951.32260334622,12203.816326530612,49
12979.63316672344,20296.637931034482,58
13008.013485515936,11274.936170212766,47
13008.89594265318,11467.603773584906,53
13079.44473897384,8226.325,40
13122.249710781123,11162.122807017544,57
13168.007640995724,12369.894736842105,38
13248.164573630182,9975.755555555555,45
13334.98997374566,5717.0,1
13410.393984247396,19989.5,2
13447.293984247395,14674.5,2
13520.319842519328,10882.424242424242,33
13631.98997374566,3935.0,1
13985.238435565738,16346.2,60
14035.13469921237,15402.242424242424,33
14037.245572909696,14929.7,50
14045.492480309244,12633.0,2
14073.656640412328,1285.0,1
14079.367480309244,6758.0,2
14090.845823310296,14720.921568627451,51
14105.659982497107,10679.0,1
14122.7235230594,16429.509433962263,53
14138.98997374566,893.0,1
14148.60793733234,14627.461538461539,39
14228.759398465554,17570.566265060243,83
14316.53112904801,14961.46875,64
14377.77891601031,14738.380952380952,63
14452.755577037868,12911.10576923077,104
14550.863785643078,14720.315789473685,57
14554.44907658854,3723.0,1
14562.117480309244,4827.0,2
14587.589124876327,24458.25,8
14599.721803861268,3225.0,1
14614.13282194546,13725.09090909091,55
14806.975904011782,13718.32075471698,53
14830.07311854346,13412.888888888889,45
14865.134263210566,11092.0,1
14879.39684135155,13458.185185185184,54
14943.326649163771,6255.0,1
14945.10442694155,3124.0,1
14977.323307078994,8515.0,1
15031.437760274885,9513.0,3
15136.617480309244,8268.5,2
15164.117480309244,9716.0,2
15189.403044619236,11469.333333333334,60
15202.976665761344,11355.64406779661,59
15284.659982497104,16237.666666666666,3
15307.617480309244,9142.0,2
15352.93860732586,22675.117647058825,34
15386.003836091732,18187.890625,64
15392.76670365042,18109.64864864865,37
15469.213773706126,18423.23076923077,52
15526.742480309244,8265.5,2
15712.272906060896,16504.219512195123,41
15786.94486212735,16813.425925925927,54
15791.882204719328,28679.0,1
15826.242480309244,11868.25,4
15887.868331458025,21202.263157894737,19
15907.156640412328,2936.0,1
15914.08104559578,15657.609756097561,41
15914.44848703646,17755.03846153846,52
15950.933369295435,18833.78947368421,38
15983.406626991127,18162.91489361702,47
16012.76781352632,18593.464285714286,28
16037.41997749628,2886.0,1
16041.134263210566,2860.0,1
16054.853291722404,15228.326530612245,49
16066.661392251115,17077.23214285714,56
16194.705691781995,15117.0,1
16227.867480309244,5461.0,2
16230.187968494793,2288.0,2
16255.53199649942,15428.0,56
16259.944320066865,16235.125,8
16286.863579153596,15626.223300970874,103
16319.656640412328,3555.0,1
16323.371743270198,20167.444444444445,45
16361.198496061848,15410.2,5
16368.04335651441,16574.35714285714,42
16402.71588540762,16467.42105263158,38
16416.45217789092,24470.819444444445,72
16451.154976449652,23300.74074074074,81
16457.98997374566,2725.0,1
16464.108613081557,15635.89090909091,55
16526.291215670095,17465.75,12
16526.712853392237,17549.545454545456,11
16536.511454659503,15078.34090909091,44
16544.134263210566,12671.0,1
16545.810404341042,15798.870967741936,31
16549.28679350466,18364.191176470587,68
16566.876964923453,15399.333333333334,12
16584.174409792464,14197.75,80
16592.904969482097,13067.795454545454,44
16617.56283463914,3276.0,3
16659.823307078994,7594.5,2
16667.220662113115,15422.0,38
16682.890266012808,14279.0,8
16693.88913385805,14559.081632653062,49
16717.63089477036,27274.0,1
16734.435418114383,15183.475,40
16738.99886495234,16320.017857142857,56
16767.593984247396,24147.0,1
16769.617480309244,7416.25,4
16823.66523434462,16415.727272727272,11
16835.44013875856,18633.605263157893,38
16835.654045743737,17012.052631578947,19
16853.587968494794,7055.5,2
16868.19359070363,7433.803571428572,56
16872.904142798703,12043.051724137931,58
16891.323307078994,6900.0,2
16900.566700218937,20814.923076923078,39
16919.50552848514,17847.63829787234,47
16919.90999536688,14202.0,11
16939.393984247396,2344.5,2
16994.822887517956,19924.826530612245,98
17014.936379377712,16915.446428571428,56
17065.242480309244,21102.5,2
17119.742818493254,16083.36,25
17120.529676693426,15114.6,75
17154.199570303386,13768.128205128205,39
17171.834621898466,16417.492307692308,65
17200.830562270945,17257.102564102563,39
17212.95546874295,21236.746666666666,75
17214.31712974989,15920.702127659575,47
17218.400590052635,15670.125,40
17254.165950505645,15161.78947368421,19
17268.517925868746,14013.927272727273,55
17277.216083532043,13202.142857142857,7
17287.28177292318,15716.76,25
17297.298010179416,16231.777777777777,36
17302.805966471566,15639.76,25
17314.8462656165,16719.935483870966,31
17332.587968494794,7405.0,2
17391.659982497105,6376.0,1
17404.056134573566,30542.04761904762,21
17486.688343327645,15835.166666666666,30
17555.759398465554,20808.654761904763,84
17575.56283463914,5451.0,1
17581.280142751613,15993.97619047619,42
17589.718511094827,14578.07142857143,28
17593.05372887824,17412.020833333332,48
17624.60310254295,15080.790697674418,43
