College_Code,Year,Cutoff_Rank
E264,2024,157422.0
E265,2020,86247.0
E265,2021,57419.5
E265,2022,54625.0
E265,2023,65420.0
E265,2024,97109.0
E269,2020,104440.0
E269,2021,66438.0
E269,2022,58834.0
E269,2023,116634.5
E269,2024,89895.0
E272,2020,132653.0
E272,2021,106131.0
E272,2022,111041.5
E272,2023,109195.0
E272,2024,150327.0
E273,2020,133995.0
E273,2021,111403.0
E273,2022,116892.0
E273,2023,120190.0
E273,2024,171032.0
E274,2020,102928.5
E274,2021,98075.0
E274,2022,86737.0
E274,2023,101783.0
E274,2024,126124.0
E275,2020,24389.0
E275,2021,21872.0
E275,2022,22916.5
E275,2023,18713.5
E275,2024,24812.5
E278,2020,89738.0
E278,2021,122815.0
E278,2022,129832.0
E278,2023,118734.0
E278,2024,160552.0
E279,2020,43313.5
E279,2021,43918.0
E279,2022,69116.0
E279,2023,91107.0
E279,2024,117665.0
E281,2021,88207.5
E281,2022,90846.0
E281,2023,88450.0
E281,2024,118628.5
E283,2021,111391.0
E283,2022,78448.0
E283,2023,88501.0
E283,2024,107771.0
E284,2021,9646.0
E284,2022,5117.0
E284,2023,4997.5
E284,2024,8381.0
E285,2022,19667.5
E285,2023,21144.0
E285,2024,23713.0
E286,2022,72869.0
E286,2023,55029.0
E286,2024,58065.5
E287,2022,90465.0
E287,2023,97937.0
E287,2024,121960.0
E288,2022,105200.5
E288,2023,103530.0
E288,2024,132137.5
E289,2022,87403.5
E289,2023,91864.5
E289,2024,109042.0
E290,2022,33161.0
E290,2023,43304.5
E290,2024,97672.0
E291,2022,95868.0
E291,2023,87863.0
E291,2024,133158.0
E292,2022,92968.0
E292,2023,82757.0
E292,2024,115381.0
E297,2023,106784.5
E297,2024,138058.0
E299,2023,104615.0
E299,2024,147408.5
E300,2023,104749.5
E300,2024,104046.0
E301,2023,134619.5
E301,2024,151556.0
E302,2023,98639.0
E302,2024,114619.0
E303,2023,145037.0
E303,2024,143015.0
E304,2024,137960.0
E305,2024,139658.0
E306,2024,132013.0
E307,2024,134329.0
E308,2024,131238.0
E309,2024,154562.0
