Year,Branch,Count
2023,AI Artificial Intelligence,3125
2023,AM B Tech in AM,314
2023,AT Automotive Engg.,14
2023,AU Automobile,65
2023,BA B.Tech(Agri.Engg),17
2023,BB B Tech in EC,553
2023,BF B Tech in DS,15
2023,BG B Tech in AD,57
2023,BH B Tech in AI,96
2023,BJ B Tech in EE,234
2023,BK B Tech in EN,3
2023,BL B Tech in AS,126
2023,BM Bio Medical,78
2023,BN B Tech in BD,35
2023,BO B Tech in BT,33
2023,BP B Tech in CE,74
2023,BQ B Tech in CG,82
2023,BR BioMed. and Robotic Engg,31
2023,BT Bio Technology,439
2023,BU B Tech in CI,99
2023,BV B Tech in CO,56
2023,BW B Tech in CS,986
2023,BX B Tech in CY,99
2023,BY B Tech in DO,38
2023,BZ B Tech in DS,129
2023,"CA CS (AI, Machine Learning)",1792
2023,CB Comp. Sc. and Bus Sys.,613
2023,CC Computer and Comm. Engg.,36
2023,CD Computer Sc. and Design,663
2023,CE Civil,1848
2023,CF CS(Artificial Intel.),266
2023,CH Chemical,259
2023,CK Civil Engg (Kannada),1
2023,CL B Tech in EO,29
2023,CM B Tech in EV,71
2023,CN B Tech in IB,39
2023,CO Computer Engineering,139
2023,CQ B Tech in IO,50
2023,CR Ceramics,3
2023,CS Computers,10961
2023,CT Const. Tech. Mgmt.,12
2023,CU B Tech in IS,171
2023,CV Civil Environment Engg,10
2023,CW B Tech in IT,125
2023,CX B Tech in IY,49
2023,CY CS- Cyber Security,602
2023,CZ B Tech in LC,36
2023,DA B Tech in MC,21
2023,DB B Tech in ME,134
2023,DC Data Sciences,56
2023,DD B Tech in MS,34
2023,DE B Tech in PE,21
2023,DF B Tech in RA,35
2023,DG DG,23
2023,DH B Tech in RAI,34
2023,DI B Tech in RE,25
2023,DJ B Tech in RO,20
2023,DK B Tech in SS,39
2023,DL B.TECH IN CS,57
2023,DM B.TECH IN CS NW,37
2023,DN B.Tech in VLSI,34
2023,DS Comp. Sc. Engg- Data Sc.,1635
2023,EA Agriculture Engineering,109
2023,EB EAT,36
2023,EC Electronics,8158
2023,EE Electrical,3138
2023,EI Elec. Inst. Engg,436
2023,EN Environmental,41
2023,ES Electronics and Computer,206
2023,ET Elec. Telecommn. Engg.,394
2023,EV EC Engg(VLSI Design),118
2023,"IC CS-IoT, Cyber Security",660
2023,IE Info.Science,4888
2023,IM Ind. Engg. Mgmt.,182
2023,IO CS- Internet of Things,51
2023,IP Ind.Prodn.,48
2023,LD B Tech in DS,10
2023,LE B Tech in AIML,12
2023,LF B Tech in CC,2
2023,LG B Tech in CS,10
2023,LH B Tech in IS,2
2023,LJ B Tech in BS,2
2023,LK B Tech in IOT,2
2023,MD Med.Elect.,102
2023,ME Mechanical,1553
2023,MK Mechanical Engg (Kannada),1
2023,"MM Mechanical, Smart Manf.",6
2023,MR Marine Engineering,28
2023,MT Mechatronics,53
2023,OT Industrial IOT,19
2023,PT Polymer Tech.,22
2023,RA Robotics and Automation,132
2023,RI Robotics and AI,153
2023,RO Auto. And Robot.,62
2023,SA Smart Agritech,10
2023,SE Aero Space Engg.,174
2023,ST Silk Tech.,18
2023,TC Telecommn.,37
2023,TX Textiles,20
2023,UP Planning,13
2023,ZC CSC,27
2023,mn Mining Engineering,21
2024,"AD Artificial Intel, Data Sc",1473
2024,AE Aeronaut.Engg,569
2024,AI Artificial Intelligence,3552
2024,AM B Tech in AM,414
2024,AR Architecture,291
2024,AT Automotive Engg.,13
2024,AU Automobile,110
2024,BA B.Tech(Agri.Engg),21
2024,BB B Tech in EC,725
2024,BF B Tech in DS,39
2024,BG B Tech in AD,301
2024,BH B Tech in AI,151
2024,BJ B Tech in EE,273
2024,BK B Tech in EN,12
2024,BL B Tech in AS,142
2024,BM Bio Medical,85
2024,BN B Tech in BD,42
2024,BO B Tech in BT,56
2024,BP B Tech in CE,145
2024,BQ B Tech in CG,123
2024,BR BioMed. and Robotic Engg,26
2024,BT Bio Technology,432
2024,BU B Tech in CI,92
2024,BV B Tech in CO,84
2024,BW B Tech in CS,1327
2024,BX B Tech in CY,148
2024,BY B Tech in DO,38
2024,BZ B Tech in DS,207
2024,"CA CS (AI, Machine Learning)",2213
2024,CB Comp. Sc. and Bus Sys.,564
2024,CC Computer and Comm. Engg.,35
2024,CD Computer Sc. and Design,661
2024,CE Civil,3275
2024,CF CS(Artificial Intel.),306
2024,CG Computer Science and Tech,29
2024,CH Chemical,313
2024,CK Civil Engg (Kannada),6
2024,CL B Tech in EO,124
2024,CM B Tech in EV,35
2024,CN B Tech in IB,39
2024,CO Computer Engineering,120
2024,CQ B Tech in IO,93
2024,CR Ceramics,11
2024,CS Computers,11334
2024,CT Const. Tech. Mgmt.,19
2024,CU B Tech in IS,217
2024,CV Civil Environment Engg,16
2024,CW B Tech in IT,120
2024,CX B Tech in IY,52
2024,CY CS- Cyber Security,606
2024,CZ B Tech in LC,41
2024,DA B Tech in MC,22
2024,DB B Tech in ME,199
2024,DC Data Sciences,58
2024,DD B Tech in MS,26
2024,DE B Tech in PE,21
2024,DF B Tech in RA,30
2024,DG DESIGN,37
2024,DH B Tech in RAI,113
2024,DI B Tech in RE,34
2024,DJ B Tech in RO,21
2024,DK B Tech in SS,40
2024,DL B.TECH IN CS,57
2024,DM B.TECH IN CS NW,41
2024,DN B.Tech in VLSI,34
2024,DS Comp. Sc. Engg- Data Sc.,1846
2024,EA Agriculture Engineering,131
2024,EB EAT,39
2024,EC Electronics,8234
2024,EE Electrical,3220
2024,EI Elec. Inst. Engg,348
2024,"EL Electronics, Instr. Tech.",57
2024,EN Environmental,45
2024,ER Electrical and Computer,13
2024,ES Electronics and Computer,249
2024,ET Elec. Telecommn. Engg.,336
2024,EV EC Engg(VLSI Design),193
2024,EZ ELECTRONICS AND COMPUT,28
2024,"IC CS-IoT, Cyber Security",774
2024,IE Info.Science,4340
2024,IM Ind. Engg. Mgmt.,212
2024,IO CS- Internet of Things,26
2024,IP Ind.Prodn.,92
2024,IZ INFORMATION SCIENCE,41
2024,LA B Plan,16
2024,LD B Tech in DS,46
2024,LE B Tech in AIML,113
2024,LF B Tech in CC,34
2024,LG B Tech in CS,45
2024,LH B Tech in IS,32
2024,LJ B Tech in BS,28
2024,LK B Tech in IOT,52
2024,MD Med.Elect.,79
2024,ME Mechanical,2955
2024,MI Mining Engineering,18
2024,MK Mechanical Engg (Kannada),9
2024,"MM Mechanical, Smart Manf.",20
2024,MR Marine Engineering,29
2024,MT Mechatronics,65
2024,OT Industrial IOT,17
2024,PT Polymer Tech.,33
2024,RA Robotics and Automation,142
2024,RI Robotics and AI,406
2024,RO Auto. And Robot.,61
2024,SE Aero Space Engg.,207
2024,ST Silk Tech.,21
2024,TC Telecommn.,23
2024,TX Textiles,52
2024,UP Planning,8
2024,UR Planning,1
2024,YA B.TEHIN COM.SCE.ENG(ROBO),28
2024,YB B.TECH IN CS.ENG(DAT ANA),32
2024,YC B.TECH IN EMD. SYS. VLSI,22
2024,YD B.TECH IN CS AND ARTI INT,33
2024,YE B.TECH IN CIV.CONST.SUST.,10
2024,YF B.TECH IN ELECT ENGG. CS.,28
2024,YG B.TECH IN EC.ENG.VSLI EMD,27
2024,YH ENGINEERING DESIGN,20
2024,YI B.TECH IN MECHANICAL,21
2024,ZA B TECH IN AERONAUT. ENGG.,35
2024,ZC CSC,117
2024,ZH B TECH IN COMP.SC.ART.INT,35
2024,ZL CIVIL ENG. WITH COMP.APPL,11
2024,ZM B.TECH IN COMP.SCI. DESI.,42
2024,ZN B.TECH IN PHARM. ENGG.,14
2024,ZO B.TECH IN CS.AND BUSI.SYS,64
2024,ZQ B.TECH IN IN.TCH.DAT.ANAL,26
2024,ZR COMP.SCE.AND ENG(ART.INT),55
2024,ZT B.TECH. IN MECH.SMAR.MANU,13
2024,ZU CYBER SECURITY,30
2024,ZV B.TECH.IN INF.TEC.AUG.REA,26
2024,ZW COMP. SCE. AND ENG (AIML),56
