College_Code,Branch,Category,Min_Round,Max_Round,Round_Count,Best_Rank,Worst_Rank,Avg_Rank_Combo,Rank_Range,Trend_Signal
E007,AE-Aeronautical Engineering,GM,1,3,2,58659,86167,72413.0,27508,Deteriorated
E007,AI-Artificial Intelligence & Machine Learning,GM,1,4,3,38367,96420,75348.0,58053,Deteriorated
E007,AI-Artificial Intelligence & Machine Learning,KKR,1,1,1,62445,62445,62445.0,0,SingleRound
E007,CD-Computer Science & Engineering (Data Science),GM,1,4,3,38476,100868,60072.0,62392,Improved
E007,CD-Computer Science & Engineering (Data Science),KKR,1,2,2,86335,86862,86598.0,527,Deteriorated
E007,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),GM,1,4,3,37687,92567,71878.0,54880,Deteriorated
E007,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),KKR,1,1,1,87257,87257,87257.0,0,SingleRound
E007,CS-Computer Science & Engineering,GM,1,4,3,33653,100868,67288.0,67215,Deteriorated
E007,CS-Computer Science & Engineering,KKR,1,2,2,65959,94314,80136.0,28355,Deteriorated
E007,CV-Civil Engineering,GM,1,3,2,51676,93472,72574.0,41796,Improved
E007,EC-Electronics & Comm-unication Engineering,GM,1,1,1,50572,50572,50572.0,0,SingleRound
E007,EC-Electronics & Comm-unication Engineering,KKR,1,1,1,100596,100596,100596.0,0,SingleRound
E007,EC-Electronics & Communication Engineering,GM,3,3,1,95327,95327,95327.0,0,SingleRound
E007,EE-Electrical & Electronics Engineering,GM,1,3,2,56183,61791,58987.0,5608,Deteriorated
E007,IS-Information Science & Engineering,GM,1,4,3,39973,101446,62775.0,61473,Improved
E007,IS-Information Science & Engineering,KKR,1,1,1,92084,92084,92084.0,0,SingleRound
E007,ME-Mechanical Engineering,GM,1,3,2,71200,82125,76662.0,10925,Deteriorated
E009,AD-Artificial Intelligence & Data Science,GM,1,3,2,51030,92275,71652.0,41245,Deteriorated
E009,CS-Computer Science & Engineering,GM,1,3,2,86707,88785,87746.0,2078,Improved
E009,EC-Electronics & Comm-unication Engineering,GM,1,1,1,98632,98632,98632.0,0,SingleRound
E009,EE-Electrical & Electronics Engineering,GM,1,1,1,64107,64107,64107.0,0,SingleRound
E009,RA-Robotics & Automation,GM,1,1,1,93986,93986,93986.0,0,SingleRound
E011,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),GM,1,3,2,40459,101878,71168.0,61419,Deteriorated
E011,CS-Computer Science & Engineering,GM,1,3,2,50081,94338,72210.0,44257,Deteriorated
E011,CV-Civil Engineering,GM,1,1,1,100483,100483,100483.0,0,SingleRound
E011,CY-Computer Science & Engineering (Cyber Security),GM,1,1,1,59487,59487,59487.0,0,SingleRound
E011,EC-Electronics & Comm-unication Engineering,GM,1,1,1,101501,101501,101501.0,0,SingleRound
E011,EC-Electronics & Communication Engineering,GM,3,3,1,80981,80981,80981.0,0,SingleRound
E011,IS-Information Science & Engineering,GM,1,1,1,84703,84703,84703.0,0,SingleRound
E012,AI-Artificial Intelligence & Machine Learning,GM,1,4,3,31357,98519,66056.0,67162,Deteriorated
E012,AI-Artificial Intelligence & Machine Learning,KKR,1,1,1,78802,78802,78802.0,0,SingleRound
E012,CD-Computer Science & Engineering (Data Science),GM,1,4,3,32753,78548,60442.0,45795,Deteriorated
E012,CG-Computer Science & Design,GM,1,4,3,43601,101751,71126.0,58150,Deteriorated
E012,CS-Computer Science & Engineering,GM,1,4,3,28017,82217,52325.0,54200,Deteriorated
E012,CS-Computer Science & Engineering,KKR,1,2,2,96334,99149,97742.0,2815,Improved
E012,CV-Civil Engineering,GM,1,1,1,68533,68533,68533.0,0,SingleRound
E012,EC-Electronics & Comm-unication Engineering,GM,1,1,1,52824,52824,52824.0,0,SingleRound
E012,EC-Electronics & Communication Engineering,GM,3,3,1,96718,96718,96718.0,0,SingleRound
E012,IS-Information Science & Engineering,GM,1,4,3,41258,100258,74852.0,59000,Deteriorated
